Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15506,layer3.2.conv2,"(36, 38, 0, 1)",15,12630,75,12555,0
15507,layer3.2.conv2,"(0, 44, 0, 1)",26,12630,99,12531,0
15508,layer3.2.conv2,"(16, 62, 1, 0)",0,12630,12630,0,0
15509,layer3.2.conv2,"(4, 62, 1, 0)",11,12630,12630,0,0
15510,layer3.2.conv2,"(41, 17, 1, 2)",15,12630,0,12630,0
15511,layer3.2.conv2,"(56, 49, 1, 1)",5,12630,12630,0,0
15512,layer3.2.conv2,"(29, 12, 1, 0)",0,12630,12630,0,0
15513,layer3.2.conv2,"(29, 63, 1, 1)",19,12630,7976,4654,0
15514,layer3.2.conv2,"(8, 39, 0, 0)",19,12630,9,12621,0
15515,layer3.2.conv2,"(3, 13, 0, 2)",30,12630,0,655,11975
15516,layer3.2.conv2,"(39, 20, 2, 1)",15,12630,0,12630,0
15517,layer3.2.conv2,"(25, 59, 0, 2)",16,12630,0,12630,0
15518,layer3.2.conv2,"(23, 36, 0, 2)",23,12630,546,12084,0
15519,layer3.2.conv2,"(52, 28, 2, 0)",11,12630,12630,0,0
15520,layer3.2.conv2,"(42, 19, 0, 0)",3,12630,12630,0,0
15521,layer3.2.conv2,"(6, 36, 2, 0)",25,12630,228,12374,28
15522,layer3.2.conv2,"(34, 46, 2, 0)",23,12630,0,12628,2
15523,layer3.2.conv2,"(45, 51, 1, 2)",30,12630,0,110,12520
15524,layer3.2.conv2,"(4, 24, 0, 0)",29,12630,310,12320,0
15525,layer3.2.conv2,"(1, 30, 2, 1)",2,12630,12630,0,0
15526,layer3.2.conv2,"(35, 21, 0, 2)",23,12630,453,12175,2
15527,layer3.2.conv2,"(33, 1, 0, 2)",4,12630,12630,0,0
15528,layer3.2.conv2,"(52, 5, 1, 2)",4,12630,12630,0,0
15529,layer3.2.conv2,"(29, 43, 2, 1)",13,12630,27,12603,0
15530,layer3.2.conv2,"(49, 18, 0, 1)",18,12630,2,12628,0
15531,layer3.2.conv2,"(55, 23, 1, 1)",23,12630,0,12629,1
15532,layer3.2.conv2,"(52, 15, 1, 2)",31,12630,255,12374,1
15533,layer3.2.conv2,"(57, 16, 0, 1)",22,12630,2,12628,0
15534,layer3.2.conv2,"(10, 61, 0, 1)",17,12630,32,12598,0
15535,layer3.2.conv2,"(37, 58, 2, 2)",11,12630,12630,0,0
15536,layer3.2.conv2,"(59, 5, 1, 2)",16,12630,266,12364,0
