Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
12733,layers.16.conv3,"(299, 62, 0, 0)",30,10000,10000,0,0
12734,layers.16.conv3,"(116, 113, 0, 0)",25,10000,1870,8130,0
12735,layers.16.conv3,"(179, 889, 0, 0)",11,10000,10000,0,0
12736,layers.16.conv3,"(95, 281, 0, 0)",24,10000,7,9993,0
12737,layers.16.conv3,"(171, 745, 0, 0)",19,10000,10000,0,0
12738,layers.16.conv3,"(63, 55, 0, 0)",11,10000,0,1006,8994
12739,layers.16.conv3,"(81, 185, 0, 0)",17,10000,10000,0,0
12740,layers.16.conv3,"(130, 810, 0, 0)",25,10000,10000,0,0
12741,layers.16.conv3,"(221, 948, 0, 0)",11,10000,10000,0,0
12742,layers.16.conv3,"(65, 137, 0, 0)",24,10000,0,10000,0
12743,layers.16.conv3,"(142, 838, 0, 0)",12,10000,718,9282,0
12744,layers.16.conv3,"(287, 172, 0, 0)",7,10000,10000,0,0
12745,layers.16.conv3,"(150, 224, 0, 0)",7,10000,1646,8354,0
12746,layers.16.conv3,"(247, 174, 0, 0)",24,10000,10000,0,0
